Пост мониторинга,Период,NO2,O3,H2S,CO,SO2,"Температура, °С","Давление, мм рт. ст.","Влажность, %","Скорость ветра, м/с","Направление ветра, °"
Площадка 21 414,2025-05-14 00:00:00,41.697,10.806,2.762,499.273,0.502,10.91,748.6890701201,68.555,0.15,89.0
Площадка 21 414,2025-05-14 00:20:00,44.549,5.0,3.317,591.223,0.584,10.615,748.6740688864,69.77,0.15,89.0
Площадка 21 414,2025-05-14 00:40:00,42.841,17.427,1.09,424.318,0.571,10.755,748.6590676527,67.855,0.15,89.05
Площадка 21 414,2025-05-14 01:00:00,42.444,19.612,0.514,383.135,0.42,10.825,748.5090553161,67.645,0.15,94.5
Площадка 21 414,2025-05-14 01:20:00,36.815,12.747,2.357,435.983,0.454,10.545,748.4490503815,71.415,0.15,97.1
Площадка 21 414,2025-05-14 01:40:00,40.827,5.037,2.698,516.284,0.497,10.24,748.38154483,74.01,0.15,97.2
Площадка 21 414,2025-05-14 02:00:00,41.882,1.461,3.152,536.616,0.622,10.355,748.426548531,74.105,0.15,127.6
Площадка 21 414,2025-05-14 02:20:00,37.701,2.269,3.583,564.653,0.613,10.73,748.4190479142,73.16,0.15,253.0
Площадка 21 414,2025-05-14 02:40:00,35.667,4.359,3.399,506.772,0.475,10.855,748.3515423627,73.37,0.15,253.0
Площадка 21 414,2025-05-14 03:00:00,36.825,2.987,4.168,494.164,0.532,11.26,748.3965460637,74.02,0.15,253.45
Площадка 21 414,2025-05-14 03:20:00,39.117,8.315,1.5,477.192,0.474,11.865,748.4490503815,72.4,0.161,282.35
Площадка 21 414,2025-05-14 03:40:00,35.43,12.828,0.584,419.89,0.517,12.25,748.471552232,72.355,0.15,309.3
Площадка 21 414,2025-05-14 04:00:00,37.384,9.3,0.481,408.72,0.472,12.875,748.4640516152,70.09,0.152,203.4
Площадка 21 414,2025-05-14 04:20:00,38.757,12.859,0.33,406.341,0.466,13.52,748.5015546993,66.6,0.15,75.85
Площадка 21 414,2025-05-14 04:40:00,45.414,8.811,0.519,442.699,0.547,13.735,748.5690602508,64.685,0.211,164.5
Площадка 21 414,2025-05-14 05:00:00,48.727,14.853,0.264,440.168,0.509,13.68,748.5840614844,62.07,0.727,273.6
Площадка 21 414,2025-05-14 05:20:00,48.788,17.948,0.27,410.845,5.996,13.71,748.6590676527,64.825,0.853,280.3
Площадка 21 414,2025-05-14 05:40:00,51.072,15.175,0.325,410.573,0.636,13.725,748.824081223,68.95,1.127,271.2
Площадка 21 414,2025-05-14 06:00:00,50.477,26.612,0.377,378.541,0.553,13.87,748.8090799893,71.535,1.435,278.65
Площадка 21 414,2025-05-14 06:20:00,49.015,26.626,0.315,377.641,0.554,14.3,748.6515670359,71.55,1.158,271.2
Площадка 21 414,2025-05-14 06:40:00,48.897,25.723,0.412,372.417,0.506,14.85,748.5315571666,69.31,0.711,291.3
Площадка 21 414,2025-05-14 07:00:00,49.167,27.918,0.35,364.374,0.586,15.035,748.516555933,67.905,1.006,288.3
Площадка 21 414,2025-05-14 07:20:00,49.506,27.102,0.322,362.657,0.46,14.865,748.4190479142,68.665,1.177,285.9
Площадка 21 414,2025-05-14 07:40:00,49.799,21.795,0.345,371.89,0.542,14.62,748.3290405122,70.165,1.091,279.1
Площадка 21 414,2025-05-14 08:00:00,45.849,24.235,0.262,376.709,2.394,14.84,748.2690355776,70.07,0.967,271.2
Площадка 21 414,2025-05-14 08:20:00,45.932,25.215,0.293,381.931,0.501,15.37,748.2240318766,68.535,0.912,283.55
Площадка 21 414,2025-05-14 08:40:00,45.539,24.579,0.341,378.549,0.461,15.965,748.2090306429,66.525,0.871,279.0
Площадка 21 414,2025-05-14 09:00:00,45.306,25.167,0.415,362.116,0.457,15.365,748.2615349608,68.83,1.198,272.45
Площадка 21 414,2025-05-14 09:20:00,44.541,23.23,0.28,366.796,0.45,15.425,748.2990380449,69.465,0.755,270.45
Площадка 21 414,2025-05-14 09:40:00,43.64,22.436,0.416,379.589,0.47,15.29,748.2240318766,70.225,0.907,278.55
Площадка 21 414,2025-05-14 10:00:00,43.086,22.696,0.421,367.768,0.489,14.63,748.0515176895,72.72,1.187,277.8
Площадка 21 414,2025-05-14 10:20:00,44.087,23.564,0.426,374.446,0.511,13.845,747.8189985678,77.19,1.387,274.75
Площадка 21 414,2025-05-14 10:40:00,45.085,21.313,0.335,373.015,0.629,13.735,747.5864794461,78.845,1.003,276.5
Площадка 21 414,2025-05-14 11:00:00,44.143,20.958,0.334,372.484,0.465,13.51,747.3914634085,80.15,1.398,276.2
Площадка 21 414,2025-05-14 11:20:00,42.593,19.122,0.388,376.002,0.498,13.065,747.2939553897,82.9,1.146,273.25
Площадка 21 414,2025-05-14 11:40:00,42.44,19.232,0.276,372.949,0.386,12.815,747.2864547729,84.955,1.079,274.5
Площадка 21 414,2025-05-14 12:00:00,43.896,17.135,0.355,377.345,0.632,12.775,747.2039479877,86.045,0.669,278.25
Площадка 21 414,2025-05-14 12:20:00,43.95,15.578,0.464,420.118,1.08,12.665,747.0764375016,87.65,0.714,276.7
Площадка 21 414,2025-05-14 12:40:00,42.92,20.839,0.315,390.263,0.499,12.19,747.0089319501,88.525,1.094,275.7
Площадка 21 414,2025-05-14 13:00:00,46.416,21.339,0.322,399.673,0.545,11.52,747.0089319501,88.815,1.411,276.4
Площадка 21 414,2025-05-14 13:20:00,47.552,24.319,0.347,405.941,0.541,11.1,746.8739208472,89.405,1.419,275.95
Площадка 21 414,2025-05-14 13:40:00,47.371,24.241,0.491,454.007,0.442,10.81,746.7614115948,89.835,1.522,277.65
Площадка 21 414,2025-05-14 14:00:00,45.29,27.703,0.447,394.355,0.476,10.535,746.6939060433,90.745,1.562,276.2
Площадка 21 414,2025-05-14 14:20:00,44.666,26.089,0.346,388.092,0.341,10.425,746.5438937067,91.49,1.504,279.1
Площадка 21 414,2025-05-14 14:40:00,43.683,25.654,0.346,382.607,0.541,10.26,746.3488776691,91.965,2.333,275.35
Площадка 21 414,2025-05-14 15:00:00,42.393,24.03,0.328,380.718,0.55,10.255,746.1613622484,92.355,1.651,275.3
Площадка 21 414,2025-05-14 15:20:00,42.563,26.812,0.373,366.853,0.35,9.995,746.0263511454,91.865,2.08,278.6
Площадка 21 414,2025-05-14 15:40:00,42.618,28.908,0.462,362.979,0.533,9.81,745.9288431266,91.225,1.371,285.8
Площадка 21 414,2025-05-14 16:00:00,43.936,28.297,0.401,364.654,0.54,9.485,745.8613375752,91.39,1.641,277.7
Площадка 21 414,2025-05-14 16:20:00,49.925,31.085,0.358,374.529,0.485,8.63,745.8613375752,90.59,2.67,273.65
Площадка 21 414,2025-05-14 16:40:00,52.683,30.662,0.457,359.387,0.452,8.25,745.868838192,90.82,2.06,278.4
Площадка 21 414,2025-05-14 17:00:00,53.058,29.319,0.315,368.523,0.543,8.22,745.868838192,91.545,1.603,280.2
Площадка 21 414,2025-05-14 17:20:00,52.427,32.981,0.395,346.76,0.49,8.22,745.8988406593,91.895,1.722,286.4
Площадка 21 414,2025-05-14 17:40:00,52.27,33.949,0.349,342.363,0.461,8.2,745.9438443603,92.2,1.426,286.85
Площадка 21 414,2025-05-14 18:00:00,52.473,34.752,0.376,338.46,0.457,8.265,745.9588455939,92.17,1.821,287.35
Площадка 21 414,2025-05-14 18:20:00,53.277,33.906,0.443,342.278,0.431,8.2,745.8988406593,91.93,1.684,281.9
Площадка 21 414,2025-05-14 18:40:00,52.549,33.764,0.323,336.426,0.473,8.2,745.8763388088,91.855,2.174,278.85
Площадка 21 414,2025-05-14 19:00:00,52.019,29.665,0.371,334.963,0.573,8.25,745.868838192,92.105,1.842,281.85
Площадка 21 414,2025-05-14 19:20:00,51.161,29.564,0.405,335.446,0.539,8.4,745.8613375752,91.88,2.202,276.1
Площадка 21 414,2025-05-14 19:40:00,49.116,32.371,0.391,341.275,0.42,8.48,745.8313351078,91.795,2.07,277.85
Площадка 21 414,2025-05-14 20:00:00,48.784,32.836,0.388,339.548,0.538,8.615,745.8163338742,91.84,2.126,278.55
Площадка 21 414,2025-05-14 20:20:00,49.633,33.327,0.39,339.531,0.583,8.785,745.8988406593,91.355,2.325,278.75
Площадка 21 414,2025-05-14 20:40:00,49.483,33.491,0.305,336.739,0.473,8.735,745.9663462108,91.145,1.931,278.0
Площадка 21 414,2025-05-14 21:00:00,49.824,32.75,0.403,335.532,0.478,8.7,746.1013573137,91.26,1.921,275.35
Площадка 21 414,2025-05-14 21:20:00,48.459,33.877,0.292,334.986,0.493,8.7,746.2888727345,91.925,1.735,275.9
Площадка 21 414,2025-05-14 21:40:00,47.084,31.911,0.369,341.452,0.496,8.84,746.4463856879,92.345,1.644,271.15
Площадка 21 414,2025-05-14 22:00:00,50.334,28.197,0.394,329.031,0.591,8.99,746.5588949403,90.765,1.755,274.0
Площадка 21 414,2025-05-14 22:20:00,51.782,29.876,0.408,324.453,0.507,8.97,746.6414017255,89.535,1.9,277.65
Площадка 21 414,2025-05-14 22:40:00,55.461,31.516,0.456,322.75,0.477,8.85,746.7239085106,87.08,1.868,278.8
Площадка 21 414,2025-05-14 23:00:00,57.033,33.402,0.415,317.967,0.41,8.64,746.9564276323,85.77,1.542,274.4
Площадка 21 414,2025-05-14 23:20:00,56.021,31.294,0.373,317.473,0.629,8.42,747.2114486046,86.9,1.456,262.25
Площадка 21 414,2025-05-14 23:40:00,56.498,31.963,0.39,318.63,0.596,8.43,747.3764621748,85.285,1.667,261.35
Площадка 21 414,2025-05-15 00:00:00,53.872,29.79,0.441,324.797,0.644,8.24,747.5864794461,86.74,0.649,251.2
Площадка 21 414,2025-05-15 00:20:00,48.879,26.558,0.407,325.601,0.56,8.075,747.6839874648,88.48,1.019,255.05
Площадка 21 414,2025-05-15 00:40:00,48.155,25.872,0.411,329.677,0.405,8.03,747.7289911658,87.595,0.434,251.15
Площадка 21 414,2025-05-15 01:00:00,45.555,24.477,0.416,329.606,0.562,7.94,747.76649425,88.2,0.546,252.4
Площадка 21 414,2025-05-15 01:20:00,44.685,23.701,0.373,326.108,0.572,7.985,747.8039973341,87.86,0.152,253.8
Площадка 21 414,2025-05-15 01:40:00,37.946,19.914,0.289,323.031,0.52,7.535,747.8940047361,89.46,0.15,232.65
Площадка 21 414,2025-05-15 02:00:00,37.549,17.315,0.25,330.563,0.44,7.13,748.0590183063,90.64,0.15,215.8
Площадка 21 414,2025-05-15 02:20:00,36.957,16.583,0.354,330.662,0.524,7.155,748.2540343439,91.575,0.158,213.05
Площадка 21 414,2025-05-15 02:40:00,34.96,17.034,0.233,326.53,0.529,7.515,748.4940540825,91.865,0.198,199.3
Площадка 21 414,2025-05-15 03:00:00,32.35,15.632,0.268,329.103,0.53,8.02,748.6215645686,91.405,0.33,138.6
Площадка 21 414,2025-05-15 03:20:00,32.385,15.632,0.324,339.763,0.419,9.485,748.7415744379,88.605,0.199,129.9
Площадка 21 414,2025-05-15 03:40:00,32.563,16.685,0.287,328.71,0.408,10.395,748.8840861576,84.83,0.261,141.45
Площадка 21 414,2025-05-15 04:00:00,32.969,15.769,0.283,331.019,0.535,11.615,748.9740935596,80.67,0.331,150.55
Площадка 21 414,2025-05-15 04:20:00,32.487,15.433,0.363,327.932,0.557,11.68,749.0490997279,80.41,0.607,131.65
Площадка 21 414,2025-05-15 04:40:00,32.759,16.932,0.316,324.218,0.647,12.67,749.1616089803,77.665,0.791,162.1
Площадка 21 414,2025-05-15 05:00:00,34.188,16.667,0.298,337.454,0.632,13.925,749.2891194665,72.77,0.835,182.05
Площадка 21 414,2025-05-15 05:20:00,35.214,16.534,0.357,336.335,0.478,14.4,749.3791268684,69.93,1.216,174.15
Площадка 21 414,2025-05-15 05:40:00,34.298,16.434,0.219,331.837,0.622,15.375,749.5141379714,67.135,0.518,198.1
Площадка 21 414,2025-05-15 06:00:00,38.329,21.101,0.406,343.537,0.561,16.01,749.664150308,61.465,0.759,218.0
Площадка 21 414,2025-05-15 06:20:00,38.462,23.433,0.297,339.468,0.527,16.895,749.7766595604,58.34,0.626,217.2
Площадка 21 414,2025-05-15 06:40:00,40.703,23.385,0.424,343.294,0.461,17.12,749.926671897,55.645,0.795,219.35
Площадка 21 414,2025-05-15 07:00:00,44.33,25.01,0.395,335.636,0.351,17.07,750.0766842336,51.705,1.037,226.85
Площадка 21 414,2025-05-15 07:20:00,46.91,27.257,0.421,323.339,0.571,17.905,750.1291885514,46.03,1.093,219.05
Площадка 21 414,2025-05-15 07:40:00,48.624,27.963,0.286,325.386,0.532,18.19,750.1816928692,44.05,1.137,224.0
Площадка 21 414,2025-05-15 08:00:00,50.006,27.857,0.448,327.027,0.495,17.12,750.3092033553,44.225,2.329,253.9
Площадка 21 414,2025-05-15 08:20:00,51.376,28.145,0.407,340.881,0.633,17.53,750.3992107573,44.315,1.243,230.2
Площадка 21 414,2025-05-15 08:40:00,50.789,27.714,0.382,328.566,0.483,18.23,750.4592156919,43.97,1.329,224.75
Площадка 21 414,2025-05-15 09:00:00,51.532,30.646,0.439,326.44,0.498,18.04,750.4517150751,43.3,1.458,201.75
Площадка 21 414,2025-05-15 09:20:00,52.988,31.119,0.348,318.96,0.455,18.23,750.4742169256,42.59,2.064,192.45
Площадка 21 414,2025-05-15 09:40:00,53.999,29.306,0.383,326.264,0.616,18.22,750.4967187761,42.755,1.573,218.75
Площадка 21 414,2025-05-15 10:00:00,55.063,30.098,0.415,322.515,0.408,18.13,750.5267212434,40.675,1.856,210.35
Площадка 21 414,2025-05-15 10:20:00,54.743,28.521,0.356,325.446,0.454,17.565,750.6692329632,42.975,1.545,204.6
Площадка 21 414,2025-05-15 10:40:00,56.51,29.537,0.418,323.242,0.472,16.26,750.9917594869,44.66,1.518,197.65
Площадка 21 414,2025-05-15 11:00:00,57.114,31.188,0.405,320.284,0.661,15.725,751.119269973,46.185,2.102,184.75
Площадка 21 414,2025-05-15 11:20:00,60.246,31.637,0.437,318.239,0.596,16.845,750.98425887,43.55,1.374,171.8
Площадка 21 414,2025-05-15 11:40:00,57.027,30.34,0.406,331.956,0.506,17.25,750.9992601037,43.675,1.05,204.15
Площадка 21 414,2025-05-15 12:00:00,55.763,28.615,0.444,327.389,0.541,18.065,750.9692576364,43.745,1.656,214.95
Площадка 21 414,2025-05-15 12:20:00,56.542,29.288,0.407,324.951,0.48,17.68,751.0667656552,42.625,1.446,212.15
Площадка 21 414,2025-05-15 12:40:00,59.151,31.441,0.435,325.154,0.471,18.03,751.2167779918,37.905,1.947,231.85
Площадка 21 414,2025-05-15 13:00:00,60.488,31.262,0.468,332.619,0.53,18.545,751.2692823096,36.73,1.867,245.05
Площадка 21 414,2025-05-15 13:20:00,61.644,31.631,0.426,345.645,0.517,18.52,751.381791562,36.44,1.923,249.75
Площадка 21 414,2025-05-15 13:40:00,61.66,30.244,0.451,346.417,0.449,18.205,751.4943008145,36.955,1.901,258.65
Площадка 21 414,2025-05-15 14:00:00,62.928,29.115,0.516,334.76,0.738,18.46,751.5993094501,35.75,2.367,251.8
Площадка 21 414,2025-05-15 14:20:00,62.077,28.537,0.437,348.784,0.554,18.13,751.6668150016,35.02,2.476,259.9
Площадка 21 414,2025-05-15 14:40:00,62.604,27.641,0.474,343.469,0.5,17.83,751.7418211699,35.79,2.03,258.45
Площадка 21 414,2025-05-15 15:00:00,63.163,24.027,0.413,357.871,0.577,17.355,751.9218359738,37.17,1.621,257.85
Площадка 21 414,2025-05-15 15:20:00,63.754,21.563,0.4,373.108,0.417,16.63,752.0943501609,39.33,1.249,246.3
Площадка 21 414,2025-05-15 15:40:00,62.682,22.745,0.342,374.629,0.612,16.19,752.3643723668,40.25,1.668,256.8
Площадка 21 414,2025-05-15 16:00:00,62.893,24.018,0.277,381.192,0.414,16.04,752.529385937,40.38,1.399,259.9
Площадка 21 414,2025-05-15 16:20:00,62.784,22.535,0.403,389.008,0.63,15.67,752.66439704,41.98,1.209,262.15
Площадка 21 414,2025-05-15 16:40:00,62.41,18.22,0.391,396.922,0.425,15.105,752.7919075261,44.465,0.86,256.8
Площадка 21 414,2025-05-15 17:00:00,61.886,17.081,0.391,391.084,0.493,14.765,753.0844315824,46.33,1.499,256.75
Площадка 21 414,2025-05-15 17:20:00,60.052,20.947,0.396,358.931,0.391,13.895,753.5119667417,52.925,1.26,276.45
Площадка 21 414,2025-05-15 17:40:00,60.83,21.467,0.4,451.245,0.426,13.06,753.7594870971,57.51,0.814,273.7
Площадка 21 414,2025-05-15 18:00:00,62.096,17.093,0.399,477.918,0.494,12.505,753.8944982001,58.735,0.434,278.25
Площадка 21 414,2025-05-15 18:20:00,57.001,12.182,0.509,412.081,0.697,11.485,754.0070074525,62.585,0.15,273.05
Площадка 21 414,2025-05-15 18:40:00,53.914,5.326,0.357,472.543,0.47,10.025,754.0895142377,69.035,0.15,234.4
Площадка 21 414,2025-05-15 19:00:00,51.236,7.688,0.476,454.426,0.372,9.56,754.2320259574,70.68,0.158,202.55
Площадка 21 414,2025-05-15 19:20:00,48.114,10.391,0.314,416.599,0.536,9.33,754.2920308921,70.96,0.226,192.95
Площадка 21 414,2025-05-15 19:40:00,47.377,15.207,0.44,380.165,0.558,9.475,754.3595364435,69.48,0.219,193.65
Площадка 21 414,2025-05-15 20:00:00,46.644,16.738,0.307,359.877,0.522,9.545,754.4495438455,68.77,0.178,189.65
Площадка 21 414,2025-05-15 20:20:00,40.189,11.58,1.037,363.549,0.558,8.71,754.5545524811,72.56,0.154,164.95
Площадка 21 414,2025-05-15 20:40:00,36.525,11.041,0.572,359.578,0.5,7.68,754.6520604999,76.61,0.221,171.1
Площадка 21 414,2025-05-15 21:00:00,42.219,15.056,0.169,340.717,0.599,8.455,754.7270666682,71.93,0.251,190.9
Площадка 21 414,2025-05-15 21:20:00,42.048,14.443,0.239,350.357,0.506,8.805,754.869578388,70.305,0.151,222.7
Площадка 21 414,2025-05-15 21:40:00,41.238,14.714,0.444,371.287,0.518,8.64,755.0420925751,70.74,0.233,193.25
Площадка 21 414,2025-05-15 22:00:00,39.266,19.838,0.39,337.312,0.605,8.385,755.1546018275,71.505,0.396,197.5
Площадка 21 414,2025-05-15 22:20:00,39.384,21.632,0.355,325.066,0.586,8.61,755.2521098463,69.795,0.663,194.6
Площадка 21 414,2025-05-15 22:40:00,39.138,21.27,0.39,326.762,0.545,8.68,755.3646190988,69.15,0.77,195.4
Площадка 21 414,2025-05-15 23:00:00,33.178,17.838,0.492,334.843,0.521,7.755,755.4696277344,73.43,0.162,185.1
Площадка 21 414,2025-05-15 23:20:00,31.077,15.817,0.295,331.889,0.61,6.825,755.6346413046,76.645,0.15,195.75
Площадка 21 414,2025-05-15 23:40:00,29.061,15.49,0.406,326.859,0.526,6.165,755.8296573422,79.53,0.15,129.25
Площадка 21 414,2025-05-16 00:00:00,28.2,15.575,0.294,327.794,0.391,5.955,755.9421665947,81.08,0.15,117.75
Площадка 21 414,2025-05-16 00:20:00,27.614,14.572,0.337,320.729,0.505,5.655,756.0696770808,82.855,0.15,106.65
Площадка 21 414,2025-05-16 00:40:00,27.151,15.05,0.396,322.937,0.674,5.6,756.1446832491,83.435,0.15,109.6
Площадка 21 414,2025-05-16 01:00:00,27.085,15.289,0.327,316.375,0.53,5.535,756.2271900342,84.0,0.15,98.35
Площадка 21 414,2025-05-16 01:20:00,26.895,14.84,0.356,324.599,0.429,5.5,756.3471999035,84.955,0.151,91.2
Площадка 21 414,2025-05-16 01:40:00,26.574,13.066,0.364,348.95,0.5,5.6,756.4672097728,85.67,0.15,90.45
Площадка 21 414,2025-05-16 02:00:00,26.551,13.785,0.624,323.29,0.503,5.73,756.5422159411,85.715,0.151,121.25
Площадка 21 414,2025-05-16 02:20:00,26.039,14.345,0.293,317.137,0.548,5.92,756.6097214925,85.795,0.231,197.45
Площадка 21 414,2025-05-16 02:40:00,28.316,13.404,0.413,329.278,0.383,6.75,756.7072295113,85.025,0.235,190.15
Площадка 21 414,2025-05-16 03:00:00,31.057,12.98,0.212,333.862,0.44,8.025,756.7897362965,81.595,0.308,186.35
Площадка 21 414,2025-05-16 03:20:00,32.396,14.446,0.279,342.173,0.485,10.485,756.9022455489,73.645,0.244,151.25
Площадка 21 414,2025-05-16 03:40:00,33.323,15.603,0.309,339.569,0.487,11.685,756.9547498667,68.935,0.307,151.95
Площадка 21 414,2025-05-16 04:00:00,36.774,17.272,0.357,340.472,0.45,14.685,756.9922529509,60.04,0.33,155.4
Площадка 21 414,2025-05-16 04:20:00,41.895,18.015,0.493,350.711,0.486,16.39,756.9697511004,53.19,0.573,171.0
Площадка 21 414,2025-05-16 04:40:00,45.802,19.973,0.402,336.121,0.583,17.165,757.0597585023,49.445,0.496,169.55
Площадка 21 414,2025-05-16 05:00:00,49.034,22.058,0.429,345.357,0.535,18.895,757.0447572687,43.695,0.495,205.45
Площадка 21 414,2025-05-16 05:20:00,51.864,20.762,0.392,360.412,0.405,19.605,757.0522578855,42.35,0.339,228.1
Площадка 21 414,2025-05-16 05:40:00,49.954,22.661,0.416,359.056,0.599,21.135,757.0447572687,39.98,0.319,208.95
Площадка 21 414,2025-05-16 06:00:00,55.52,24.174,0.365,364.593,0.482,20.62,757.0147548014,40.27,0.503,228.3
Площадка 21 414,2025-05-16 06:20:00,55.262,26.209,0.396,345.89,0.535,21.235,757.0372566519,39.195,0.626,232.15
Площадка 21 414,2025-05-16 06:40:00,59.023,25.303,0.398,351.91,0.517,22.07,757.0822603528,38.165,0.35,230.95
Площадка 21 414,2025-05-16 07:00:00,59.177,27.21,0.351,343.135,0.516,22.19,757.1497659043,38.135,0.841,223.1
Площадка 21 414,2025-05-16 07:20:00,62.16,26.975,0.474,362.179,0.471,22.155,757.2472739231,37.495,0.941,252.3
Площадка 21 414,2025-05-16 07:40:00,62.112,28.61,0.433,341.334,0.448,22.55,757.3447819419,37.32,1.115,228.7
Площадка 21 414,2025-05-16 08:00:00,62.499,27.2,0.39,345.96,0.496,21.885,757.3372813251,38.655,1.457,256.35
Площадка 21 414,2025-05-16 08:20:00,64.134,29.575,0.488,334.334,0.412,21.69,757.4047868765,37.24,2.113,257.6
Площадка 21 414,2025-05-16 08:40:00,64.965,30.531,0.456,339.345,0.644,21.64,757.3897856429,37.44,1.642,253.15
Площадка 21 414,2025-05-16 09:00:00,66.861,30.846,0.352,345.877,0.472,21.55,757.3897856429,37.335,2.03,262.65
